"species","sla","ldmc","lnc_m","lpc_m"
"FRAGARIA VIRIDIS",16.01916667,338.94,16.22,2.2
"FRANGULA DODONEI",33.3787234,297.3571429,30.534,2.336504363
"FRAXINUS EXCELSIOR",13.01961165,321.5282509,22.62603093,1.969117323
"GALACTITES ELEGANS",11.47,160,20.29,2.01
"GALIUM APARINE",36.87807018,135.2941176,31.26666667,3.14
"GALIUM BOREALE",25.3169697,290.6326933,21.62208352,1.712
"GALIUM CORRUDIFOLIUM",13.64759211,230.6680439,21.551074,2.103055556
"GALIUM MOLLUGO",29.39972779,199.8251952,31.78953225,3.283813219
"GALIUM ODORATUM",42.21,241.5,24.49333333,2.614699264
"GALIUM PUSILLUM",28.785,185.24,21.35,1.52
"GALIUM SAXATILE",24.69875,185,25.1,2.9
"GALIUM ULIGINOSUM",30.06761905,266.81625,17.26,0.733
"GALIUM VERUM",22.06059006,237.725608,26.67903026,2.474513748
"GENISTA HISPANICA",18.17067949,289.0023846,28.3341642,2.038
"GENISTA SAGITTALIS",23.524,216.807,28.96470758,2.025
"GENTIANA CRUCIATA",17.69,197.66,16.98,1.68
"GENTIANA LUTEA",13.255,214.7916667,23.4,1.576
"GERANIUM MOLLE",27.43185283,183.1955191,15.89541703,2.058310513
"GERANIUM PRATENSE",20.74181818,233.75,32.34,3.79
"GERANIUM ROBERTIANUM",28.6,182.8333333,26.6,2.5
"GERANIUM ROTUNDIFOLIUM",25.7429,222.7902857,21.475,3.4015
"GERANIUM SANGUINEUM",21.68875,255.6,18.635,2.13
"GERANIUM SYLVATICUM",23.74548387,255.07,25.41518519,4.079748334
"GEUM RIVALE",20.72230769,271.1666667,27.976,2
"GLECHOMA HEDERACEA",35.45074074,156,31.56333333,3.262171951
"GLOBULARIA CORDIFOLIA",11.93,250.37,17.75,1.21
"GLOBULARIA VULGARIS",11.72426191,273.2422308,16.175,0.9025
"GLYCERIA FLUITANS",37.105,273.3333333,27.83333333,2.1
"GLYCERIA GRANDIS",21.5,248.22,23.5,3.2
"GLYCERIA MAXIMA",18.07555556,243.3333333,23.515,2.150050287
"HALIMIONE PORTULACOIDES",8.397329568,144.3951693,18.99807264,1.464251613
"HEDERA HELIX",11.39644172,330.0942029,15.23185185,1.428826019
"HELIANTHEMUM APENNINUM",10.4815,320.0255667,23.1,1.4925
"HELIANTHEMUM GRANDIFLORUM",12.49,315.445,21.6,2.0455
"HELIANTHEMUM NUMMULARIUM",16.07811016,262.1905934,29.22594871,2.45571963
"HELIANTHEMUM OELANDICUM",10.62404301,330.1424691,19.20833333,1.91
"HELIANTHUS TUBEROSUS",28.33285714,123.565,33.86333333,3.730894743
"HELICHRYSUM ARENARIUM",18.07,220,17.3,2.3
"HELICHRYSUM STOECHAS",14.02,290,14.63,1.504666667
"HERACLEUM SPHONDYLIUM",21.4075,208.70375,34.83333333,3.657333333
"HIERACIUM BIFIDUM",22.774,175.9755556,17.54,1.42
"HIERACIUM PILOSELLA",17.78322748,196.5889285,20.11024773,1.491828898
"HIERACIUM UMBELLATUM",22.70090909,172.49375,24.51625,2.427225719
"HIPPOCREPIS COMOSA",14.91375,226.3134,34.2283918,2.4275
"HIPPOPHAE RHAMNOIDES",11.59363636,296.8344509,33.06695469,1.166037712
"HIPPURIS VULGARIS",33.825,101.6557143,20.65666667,1.673494153
"HOLCUS LANATUS",32.43962763,223.5927641,25.03250896,2.325683738
"HOLCUS MOLLIS",39.746,215,31.92,2.798290572
"HONCKENYA PEPLOIDES",16.41333333,166.6666667,20.93,2.46
"HORDELYMUS EUROPAEUS",36.76,196.295,25.5,1.636666667
"HORDEUM BULBOSUM",18.68,260,26.3,2.649106362
"HORDEUM MURINUM",28.70863509,222.5909091,29.99568474,3.689
"HUPERZIA SELAGO",13.58,334.22,11.06272727,1.373333333
"HYACINTHOIDES NON-SCRIPTA",21.96333333,85,31.95,2.7
"HYDROCHARIS MORSUS-RANAE",40.2975,95.54166667,17,0.5
"HYDROCOTYLE VULGARIS",30.255,113.6969231,20.95444444,0.97888984
"HYPOCHOERIS RADICATA",23.125,113.3333333,17.75,2.175
"ILEX AQUIFOLIUM",6.88625,342.8521127,14.7952,1.070197043
"IMPATIENS CAPENSIS",56.76285714,101.6666667,31.2175,2.9
"IMPATIENS PARVIFLORA",119.5166667,73.235,17.7,4.51
"INULA CONYZA",17.677,242,20.5,2.18
"INULA MONTANA",13.02717949,285.5230513,22.2,1.225
"JACOBAEA VULGARIS",25.33772727,124.2675,20.224,2.76825
"JUGLANS REGIA",14.17521739,310,22.6745,1.864726004
"JUNCUS ARTICULATUS",16.0205,201.52125,20.708,1.494340533
"JUNCUS BUFONIUS",19.02272727,134.6,14.86,2.297
"JUNCUS EFFUSUS",5.554705882,310.4675,13.66777778,1.770390767
"JUNCUS SQUARROSUS",5.83,395.305,13.14285714,1.46
"JUNCUS SUBNODULOSUS",6.884444444,187,19.21,1.134628467
"JUNCUS TENUIS",12.5025,106.905,14.2,1.8
"JUNIPERUS COMMUNIS",8.768571429,489.8733333,11.6592,1.087184012
"JUNIPERUS OXYCEDRUS",5.607333333,453.3,9.21875,0.766666667
"KNAUTIA ARVENSIS",19.85106711,160.8622907,29.16904762,2.876432719
"KNAUTIA DIPSACIFOLIA",14.95,187.79,17.815,1.31
"KOELERIA GLAUCA",13.11,360,21.4,2.5
"KOELERIA MACRANTHA",12.18423077,354.2727273,18.435,1.295435739
"KOELERIA VALLESIANA",10.76061953,352.8139572,22.05865385,1.255
"LABURNUM ANAGYROIDES",17.79,278.78,34.07769231,1.791065179
