"site","longitude","latitude","annual_temp","annual_prec","gsl"
"878091",5.91776058998924,44.8453362761713,73.5528297976422,1054.09289679873,193
"878092",5.91776058998924,44.8453362761713,73.5528297976422,1054.09289679873,193
"878093",5.91869595071668,44.8633306834045,65.1366553561723,1230.69564318688,193
"878094",5.91869595071668,44.8633306834045,65.1366553561723,1230.69564318688,193
"878104",6.7142042942462,45.5877223166731,65.175897373899,920.952517669382,195
"878110",5.91869595071668,44.8633306834045,65.1366553561723,1230.69564318688,193
"878111",5.91869595071668,44.8633306834045,65.1366553561723,1230.69564318688,193
"878113",5.93134680057578,44.8629972459029,44.4514069703289,1358.43489016891,193
"878114",5.93134680057578,44.8629972459029,44.4514069703289,1358.43489016891,193
"878115",5.93134680057578,44.8629972459029,44.4514069703289,1358.43489016891,193
"878116",5.93134680057578,44.8629972459029,44.4514069703289,1358.43489016891,193
"880111",5.91869595071668,44.8633306834045,65.1366553561723,1230.69564318688,193
"880112",5.91869595071668,44.8633306834045,65.1366553561723,1230.69564318688,193
"880143",6.33054640709237,45.1851693163667,44.8596793802984,1084.45486260428,155
"880144",6.33054640709237,45.1851693163667,44.8596793802984,1084.45486260428,155
"880251",6.33054640709237,45.1851693163667,44.8596793802984,1084.45486260428,155
"880288",5.91869595071668,44.8633306834045,65.1366553561723,1230.69564318688,193
"880295",5.91869595071668,44.8633306834045,65.1366553561723,1230.69564318688,193
"880303",5.91869595071668,44.8633306834045,65.1366553561723,1230.69564318688,193
"880304",5.91869595071668,44.8633306834045,65.1366553561723,1230.69564318688,193
"880308",5.93134680057578,44.8629972459029,44.4514069703289,1358.43489016891,193
"880310",5.93134680057578,44.8629972459029,44.4514069703289,1358.43489016891,193
"880311",5.93134680057578,44.8629972459029,44.4514069703289,1358.43489016891,193
"880380",6.05704655647303,45.3101396142849,44.4620071250281,1486.23801419914,204
"880403",6.05655271136598,45.3011419705441,44.1157943111117,1438.42468781832,204
"880465",5.80892878468884,44.694995432399,44.8026555662053,1136.88267131651,179
"880492",5.80892878468884,44.694995432399,44.8026555662053,1136.88267131651,179
"880494",5.80937775426659,44.703992606205,30.3456123466402,1202.70447034948,179
"880496",5.80937775426659,44.703992606205,30.3456123466402,1202.70447034948,179
"880502",5.80937775426659,44.703992606205,30.3456123466402,1202.70447034948,179
"880507",5.80937775426659,44.703992606205,30.3456123466402,1202.70447034948,179
"880530",5.80937775426659,44.703992606205,30.3456123466402,1202.70447034948,179
"880534",5.80937775426659,44.703992606205,30.3456123466402,1202.70447034948,179
"880535",5.80937775426659,44.703992606205,30.3456123466402,1202.70447034948,179
"880553",6.10805141495372,45.3087339112499,40.5559184795355,1419.4362258951,186
"880555",6.10805141495372,45.3087339112499,40.5559184795355,1419.4362258951,186
"880556",6.10805141495372,45.3087339112499,40.5559184795355,1419.4362258951,186
"880563",6.10754934724161,45.2997364968606,37.6458188268955,1430.70657423582,186
"880570",5.79586814756969,44.6863177066532,57.1140293199456,1137.36274487882,179
"880572",5.79586814756969,44.6863177066532,57.1140293199456,1137.36274487882,179
"880573",5.79586814756969,44.6863177066532,57.1140293199456,1137.36274487882,179
"880580",5.79586814756969,44.6863177066532,57.1140293199456,1137.36274487882,179
"880581",5.53091188474004,44.9719403431561,49.8125416065238,1372.96401147977,189
