"species","sla","plant_height","seed_mass","ldmc","leaf_area","lnc_m","lpc_m","lnc_a","vcmax"
"ARABIS CAERULEA",21.06666667,0.0875,0.24,NA,NA,32,NA,1.518987342,399.4377722
"ARABIS CILIATA",NA,0.1475,0.28,NA,NA,NA,NA,NA,NA
"ARABIS HIRSUTA",25.92818182,0.508947368,0.101714286,163,229.1,20,NA,0.771361453,202.839676
"ARABIS PLANISILIQUA",NA,NA,NA,141.09,NA,NA,NA,NA,NA
"ARABIS SAGITTATA",18.815,0.5975,0.1,135,269.675,NA,NA,NA,NA
"ARABIS SCABRA",NA,0.07,0.27,NA,NA,NA,NA,NA,NA
"ARABIS SOYERI",NA,0.2175,NA,NA,NA,NA,NA,NA,NA
"ARABIS TURRITA",NA,0.483333333,0.556,NA,NA,NA,NA,NA,NA
"ARBUTUS UNEDO",8.598490566,5.111111111,2.462727273,307.0930233,1552.42303,13.79753968,1.083307821,1.60464672,421.9630363
"ARCTIUM",NA,NA,15.928,NA,NA,NA,NA,NA,NA
"ARCTIUM LAPPA",19.286,1.372307692,11.57090909,198.6358824,7910.54875,NA,NA,NA,NA
"ARCTIUM MINUS",24.06714286,1.538235294,8.930285714,175.3333333,117000,NA,NA,NA,NA
"ARCTIUM NEMOROSUM",NA,2.13,15.73,NA,NA,NA,NA,NA,NA
"ARCTIUM TOMENTOSUM",50,1.131428571,10.96,NA,50645,47.3,NA,0.946,248.7631872
"ARCTOSTAPHYLOS ALPINUS",12.74571429,0.151818182,1.345,263.51,191.9766667,15.63636364,1.2375,1.226793829,322.6016311
"ARCTOSTAPHYLOS UVA-URSI",7.341,0.187575758,10.636875,471.2893533,181.215,9.43536623,2.014,1.28529713,337.9858462
"ARENARIA AGGREGATA",9.69045238,NA,NA,351.382981,0.038012857,NA,NA,NA,NA
"ARENARIA BIFLORA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"ARENARIA CILIATA",NA,0.074,NA,NA,NA,NA,NA,NA,NA
"ARENARIA MONTANA",NA,0.3,NA,NA,NA,NA,NA,NA,NA
"ARENARIA SERPYLLIFOLIA",19.09080342,0.154349967,0.065287843,260.9380909,7.100436667,19.4975,2.02425,1.021303272,268.5651766
"ARGYROLOBIUM ZANONII",NA,0.2,6.45,NA,NA,NA,NA,NA,NA
"ARISARUM VULGARE",NA,0.1,NA,NA,NA,26.8,1.5,NA,NA
"ARISTOLOCHIA CLEMATITIS",NA,NA,NA,270.44,NA,NA,NA,NA,NA
"ARISTOLOCHIA ROTUNDA",21.975,0.4,46.9,270,NA,33.58666667,NA,1.528403489,401.9138723
"ARMERIA ALPINA",NA,0.077368421,1.92,196.0151604,NA,30.30231432,NA,NA,NA
"ARMERIA ARENARIA",NA,0.070238095,1.48,238.3463568,NA,24.26939865,NA,NA,NA
"ARMERIA MARITIMA",15.68125,0.2675,1.0985,180,144.494,17,2,1.08409725,285.0776819
"ARMORACIA RUSTICANA",18.41333333,1.05,NA,180,72418.33333,NA,NA,NA,NA
"ARNICA MONTANA",18.33,0.414285714,1.613333333,150.37,1601.5,17.33,1.45,0.945444626,248.6171444
